ID,Name,maxNum,category,maxRepositoryNum
8951,Smithing-Stone Miner's Bell Bearing [1],1,Convergence Upgrade Materials,1
8952,Smithing-Stone Miner's Bell Bearing [2],1,Convergence Upgrade Materials,1
8953,Smithing-Stone Miner's Bell Bearing [3],1,Convergence Upgrade Materials,1
8954,Smithing-Stone Miner's Bell Bearing [4],1,Convergence Upgrade Materials,1
8955,Somberstone Miner's Bell Bearing [1],1,Convergence Upgrade Materials,1
8956,Somberstone Miner's Bell Bearing [2],1,Convergence Upgrade Materials,1
8957,Somberstone Miner's Bell Bearing [3],1,Convergence Upgrade Materials,1
8958,Somberstone Miner's Bell Bearing [4],1,Convergence Upgrade Materials,1
8959,Somberstone Miner's Bell Bearing [5],1,Convergence Upgrade Materials,1
8981,Shadow Stone Miner's Bell Bearing [1],1,Convergence Upgrade Materials,1
8982,Shadow Stone Miner's Bell Bearing [2],1,Convergence Upgrade Materials,1
8983,Shadow Stone Miner's Bell Bearing [3],1,Convergence Upgrade Materials,1
8984,Somber Shadow Stone Miner's Bell Bearing [1],1,Convergence Upgrade Materials,1
8985,Somber Shadow Stone Miner's Bell Bearing [2],1,Convergence Upgrade Materials,1
8986,Somber Shadow Stone Miner's Bell Bearing [3],1,Convergence Upgrade Materials,1
