ID,Name,maxNum,category,maxRepositoryNum
8060,Keystone 1,1,Convergence KeystonesRemnants,1
8061,Keystone 2,1,Convergence KeystonesRemnants,1
8062,Keystone 3,1,Convergence KeystonesRemnants,1
8063,Keystone 4,1,Convergence KeystonesRemnants,1
8064,Keystone 5,1,Convergence KeystonesRemnants,1
20900,Essence Physick Remnant,99,Convergence KeystonesRemnants,99
20901,Elemental Physick Remnant,99,Convergence KeystonesRemnants,99
20902,Prowess Physick Remnant,99,Convergence KeystonesRemnants,99
20903,Invigorating Physick Remnant,99,Convergence KeystonesRemnants,99
20904,Enduring Physick Remnant,99,Convergence KeystonesRemnants,99
20950,Combat Remnant,99,Convergence KeystonesRemnants,99
20951,Heirloom Remnant,99,Convergence KeystonesRemnants,99
20952,Faint Relic Remnant,99,Convergence KeystonesRemnants,99
20953,Shimmering Relic Remnant,99,Convergence KeystonesRemnants,99
20954,Glowing Relic Remnant,99,Convergence KeystonesRemnants,99
20955,Shining Relic Remnant,99,Convergence KeystonesRemnants,99
20956,Enchanted Remnant,99,Convergence KeystonesRemnants,99
