ID,Name,compatibleWepTypes,defaultAffinity,allowedAffinities,convergence_affinities
200000,Ash of War: Dryleaf Whirlwind,HandToHand,Standard,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
200100,Ash of War: Aspects of the Crucible: Wings,Dagger|SwordNormal|SwordLarge|SwordGigantic|SaberNormal|SaberLarge|katana|SwordDoubleEdge|SwordPierce|RapierHeavy|SpearNormal|SpearHeavy|SpearAxe|ThrowingWeapon|LightGreatsword|GreatKatana,Sacred,Standard|Heavy|Keen|Quality|Lightning|Sacred,Standard|Heavy|Keen|Quality|Gravity|Flame
400000,Ash of War: Spinning Gravity Thrust,SwordLarge|SwordGigantic|SaberLarge|RapierHeavy|GreatKatana,Heavy,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
401000,Ash of War: Palm Blast,HandToHand,Standard,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
402000,Ash of War: Piercing Throw,ThrowingWeapon,Keen,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
403000,Ash of War: Scattershot Throw,ThrowingWeapon,Keen,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
404000,Ash of War: Wall of Sparks,PerfumeBottle,Standard,Standard,Standard
405000,Ash of War: Rolling Sparks,PerfumeBottle,Standard,Standard,Standard
406000,Ash of War: Raging Beast,BeastClaw,Keen,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
407000,Ash of War: Savage Claws,BeastClaw,Keen,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
