ID,Name,reinforcement,aow_allowed,wepType,wepTypeCol,maxArrowQuantity,allowed_affinities,convergence_affinities
1500000,Main-gauche,standard,1,1,Dagger,1,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava|Frenzy|Death|Godslayer|Frost|Aberrant|Bloodflame|Rotten|Storm|Psionic
1510000,Fire Knight's Shortsword,standard,1,1,Dagger,1,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
2510000,Velvet Sword of St. Trina,somber,0,3,SwordNormal,1,Standard,Standard
2520000,Star-Lined Sword,somber,0,13,katana,1,Standard,Standard
2530000,Carian Sorcery Sword,standard,0,15,SwordPierce,1,Standard,Standard
2540000,Stone-Sheathed Sword,somber,0,3,SwordNormal,1,Standard,Standard
2550000,Sword of Light,somber,0,3,SwordNormal,1,Standard,Standard
2560000,Sword of Darkness,somber,0,3,SwordNormal,1,Standard,Standard
3500000,Sword Lance,standard,1,16,SpearHeavy,1,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava|Frenzy|Death|Godslayer|Frost|Aberrant|Bloodflame|Rotten|Storm|Psionic
3510000,Greatsword of Damnation,somber,0,5,SwordLarge,1,Standard,Standard
3520000,Lizard Greatsword,standard,1,5,SwordLarge,1,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava|Frenzy|Death|Godslayer|Frost|Aberrant|Bloodflame|Rotten|Storm|Psionic
