ID,Name,maxNum,category,maxRepositoryNum
11000,Crimsonspill Crystal Tear,1,CrystalTears,1
11001,Greenspill Crystal Tear,1,CrystalTears,1
11002,Crimson Crystal Tear,1,CrystalTears,1
11003,Crimson Crystal Tear,1,CrystalTears,1
11004,Cerulean Crystal Tear,1,CrystalTears,1
11005,Cerulean Crystal Tear,1,CrystalTears,1
11006,Speckled Hardtear,1,CrystalTears,1
11007,Crimson Bubbletear,1,CrystalTears,1
11008,Opaline Bubbletear,1,CrystalTears,1
11009,Crimsonburst Crystal Tear,1,CrystalTears,1
11010,Greenburst Crystal Tear,1,CrystalTears,1
11011,Opaline Hardtear,1,CrystalTears,1
11012,Winged Crystal Tear,1,CrystalTears,1
11013,Thorny Cracked Tear,1,CrystalTears,1
11014,Spiked Cracked Tear,1,CrystalTears,1
11015,Windy Crystal Tear,1,CrystalTears,1
11016,Ruptured Crystal Tear,1,CrystalTears,1
11017,Ruptured Crystal Tear,1,CrystalTears,1
11018,Leaden Hardtear,1,CrystalTears,1
11019,Twiggy Cracked Tear,1,CrystalTears,1
11020,Crimsonwhorl Bubbletear,1,CrystalTears,1
11021,Strength-knot Crystal Tear,1,CrystalTears,1
11022,Dexterity-knot Crystal Tear,1,CrystalTears,1
11023,Intelligence-knot Crystal Tear,1,CrystalTears,1
11024,Faith-knot Crystal Tear,1,CrystalTears,1
11025,Cerulean Hidden Tear,1,CrystalTears,1
11026,Stonebarb Cracked Tear,1,CrystalTears,1
11027,Purifying Crystal Tear,1,CrystalTears,1
11028,Flame-Shrouding Cracked Tear,1,CrystalTears,1
11029,Magic-Shrouding Cracked Tear,1,CrystalTears,1
11030,Lightning-Shrouding Cracked Tear,1,CrystalTears,1
11031,Holy-Shrouding Cracked Tear,1,CrystalTears,1
