ID,Name,reinforcement,aow_allowed,wepType,wepTypeCol,maxArrowQuantity
1000000,Dagger,standard,1,1,Dagger,1
1010000,Black Knife,somber,0,1,Dagger,1
1020000,Parrying Dagger,standard,1,1,Dagger,1
1030000,Miséricorde,standard,1,1,Dagger,1
1040000,Reduvia,somber,0,1,Dagger,1
1050000,Crystal Knife,standard,0,1,Dagger,1
1060000,Celebrant's Sickle,standard,1,1,Dagger,1
1070000,Glintstone Kris,somber,0,1,Dagger,1
1080000,Scorpion's Stinger,somber,0,1,Dagger,1
1090000,Great Knife,standard,1,1,Dagger,1
1100000,Wakizashi,standard,1,1,Dagger,1
1110000,Cinquedea,somber,0,1,Dagger,1
1130000,Ivory Sickle,standard,0,1,Dagger,1
1140000,Bloodstained Dagger,standard,1,1,Dagger,1
1150000,Erdsteel Dagger,standard,1,1,Dagger,1
1160000,Blade of Calling,somber,0,1,Dagger,1
2000000,Longsword,standard,1,3,SwordNormal,1
2010000,Short Sword,standard,1,3,SwordNormal,1
2020000,Broadsword,standard,1,3,SwordNormal,1
2040000,Lordsworn's Straight Sword,standard,1,3,SwordNormal,1
2050000,Weathered Straight Sword,standard,1,3,SwordNormal,1
2060000,Ornamental Straight Sword,somber,0,3,SwordNormal,1
2070000,Golden Epitaph,somber,0,3,SwordNormal,1
2080000,Nox Flowing Sword,somber,0,9,SaberNormal,1
2090000,Inseparable Sword,somber,0,5,SwordLarge,1
2110000,Coded Sword,somber,0,3,SwordNormal,1
2140000,Sword of Night and Flame,somber,0,3,SwordNormal,1
2150000,Crystal Sword,somber,0,3,SwordNormal,1
2180000,Carian Knight's Sword,somber,0,3,SwordNormal,1
2190000,Sword of St. Trina,somber,0,3,SwordNormal,1
2200000,Miquellan Knight's Sword,somber,0,3,SwordNormal,1
2210000,Cane Sword,standard,1,3,SwordNormal,1
2220000,Regalia of Eochaid,somber,0,3,SwordNormal,1
2230000,Noble's Slender Sword,standard,1,3,SwordNormal,1
2240000,Warhawk's Talon,standard,1,3,SwordNormal,1
2250000,Lazuli Glintstone Sword,somber,0,3,SwordNormal,1
2260000,Rotten Crystal Sword,somber,0,3,SwordNormal,1
3000000,Bastard Sword,standard,1,5,SwordLarge,1
3010000,Forked Greatsword,standard,1,5,SwordLarge,1
3020000,Iron Greatsword,standard,1,5,SwordLarge,1
3030000,Lordsworn's Greatsword,standard,1,5,SwordLarge,1
3040000,Knight's Greatsword,standard,1,5,SwordLarge,1
3050000,Flamberge,standard,1,5,SwordLarge,1
3060000,Ordovis's Greatsword,somber,0,5,SwordLarge,1
3070000,Alabaster Lord's Sword,somber,0,5,SwordLarge,1
3080000,Banished Knight's Greatsword,standard,1,5,SwordLarge,1
3090000,Dark Moon Greatsword,somber,0,5,SwordLarge,1
3100000,Sacred Relic Sword,somber,0,5,SwordLarge,1
3130000,Helphen's Steeple,somber,0,5,SwordLarge,1
3140000,Blasphemous Blade,somber,0,5,SwordLarge,1
3150000,Marais Executioner's Sword,somber,0,5,SwordLarge,1
3160000,Sword of Milos,somber,0,5,SwordLarge,1
3170000,Golden Order Greatsword,somber,0,5,SwordLarge,1
3180000,Claymore,standard,1,5,SwordLarge,1
3190000,Gargoyle's Greatsword,standard,1,5,SwordLarge,1
3200000,Death's Poker,somber,0,5,SwordLarge,1
3210000,Gargoyle's Blackblade,somber,0,5,SwordLarge,1
4000000,Greatsword,standard,1,7,SwordGigantic,1
4010000,Watchdog's Greatsword,standard,1,7,SwordGigantic,1
4020000,Maliketh's Black Blade,somber,0,7,SwordGigantic,1
4030000,Troll's Golden Sword,standard,1,7,SwordGigantic,1
4040000,Zweihander,standard,1,7,SwordGigantic,1
4050000,Starscourge Greatsword,somber,0,7,SwordGigantic,1
4060000,Royal Greatsword,somber,0,7,SwordGigantic,1
4070000,Godslayer's Greatsword,somber,0,7,SwordGigantic,1
4080000,Ruins Greatsword,somber,0,7,SwordGigantic,1
4100000,Grafted Blade Greatsword,somber,0,7,SwordGigantic,1
4110000,Troll Knight's Sword,somber,0,7,SwordGigantic,1
5000000,Estoc,standard,1,15,SwordPierce,1
5010000,Cleanrot Knight's Sword,standard,1,15,SwordPierce,1
5020000,Rapier,standard,1,15,SwordPierce,1
5030000,Rogier's Rapier,standard,1,15,SwordPierce,1
5040000,Antspur Rapier,standard,1,15,SwordPierce,1
5050000,Frozen Needle,somber,0,15,SwordPierce,1
5060000,Noble's Estoc,standard,1,15,SwordPierce,1
6000000,Bloody Helice,somber,0,16,SpearHeavy,1
6010000,Godskin Stitcher,standard,1,16,SpearHeavy,1
